pays,x2015,x2016,x2017,x2018,x2019,x2020,x2021
Belgium,122274,121896,119690,118319,117695,114350,118349
Bulgaria,65950,64984,63955,62197,61538,59086,58678
Czechia,110764,112663,114405,114036,112231,110200,111793
Denmark,58205,61614,61397,61476,61167,60937,63473
Germany,737575,792141,784901,787523,778090,773144,795492
Estonia,13907,14053,13784,14367,14099,13209,13272
Ireland,65536,63841,61824,61022,59289,55959,58440
Greece,91847,92898,88553,86440,83763,84764,85303
Spain,418432,408734,391265,370827,358747,340635,336247
France,799671,784325,770045,759199,754008,735775,738594
Croatia,37503,37537,36556,NA,NA,NA,NA
Italy,485780,473438,458151,36945,36135,35845,36508
Cyprus,9170,9455,9229,439747,420084,404892,399431
Latvia,21979,21968,20828,9329,9548,9930,10150
Lithuania,31475,30623,28696,19314,18786,17552,17420
Luxembourg,6115,6050,6174,28149,27393,25144,23330
Hungary,92135,95361,94646,6274,6230,6459,6690
Malta,4325,4476,4319,93467,93100,93807,94003
Netherlands,170510,172520,169836,4444,4350,4414,4395
Austria,84381,87675,87633,168525,169680,168681,179441
Poland,369308,382257,401982,85535,84952,83603,86078
Portugal,85500,87126,86154,388178,374954,355309,331511
Romania,201995,205773,210590,87020,86579,84530,79582
Slovenia,20641,20345,20241,210290,199720,198302,178496
Slovakia,55602,57557,57969,19585,19328,18767,18984
Finland,55472,52814,50321,57639,57054,56650,56565
Sweden,114870,117425,115416,47577,45613,46463,49594
Iceland,4129,4034,4071,115832,114523,113077,114263
Liechtenstein,325,378,338,4228,4452,4512,4879
Norway,58815,58890,56633,378,356,353,375
Switzerland,86559,87883,87381,55120,54495,52979,56060
United Kingdom,776746,774386,754754,87851,86172,85914,89644
Montenegro,7386,7569,7432,730918,712699,NA,NA
North Macedonia,23075,23002,21754,7264,7223,7097,7033
Albania,32715,31733,30869,21333,19845,19031,18648
Serbia,65657,64734,64894,28934,28561,28075,27211
Turkey,1325783,1309771,1291055,63975,64399,61692,62180
Andorra,NA,634,NA,1248847,1183652,1112859,1079842
Belarus,119028,117779,102556,543,539,NA,503
Bosnia and Herzegovina,NA,29276,29158,94042,87602,NA,NA
Kosovo (under United Nations Security Council Resolution 1244/99),24594,23416,23402,29467,NA,NA,NA
Moldova,40855,39961,36640,22761,21798,NA,NA
Monaco,308,295,NA,34764,32022,30730,NA
Russia,NA,NA,NA,227,NA,NA,NA
San Marino,269,262,228,NA,NA,NA,NA
Ukraine,411781,397037,363987,235,232,NA,212
Armenia,41763,40592,37700,335874,308817,293457,271983
Azerbaijan,166210,159464,144041,36574,36041,36353,NA
Georgia,59249,56569,53293,138982,141179,126571,112284
NA,NA,NA,NA,51138,48296,46520,45946
