country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,,,,,22,,,,,,,,,,,,25
Angola,,,,,,,,,,25.6k,13.4k,9470,14.4k,38.6k,12.5k,13.8k,10.2k
Argentina,,,,,,,,,,,,0,0,0,0,,
Armenia,,,,,,,,,0,0,,0,0,0,0,0,0
Azerbaijan,,,,,,,,,0,0,,0,0,0,0,0,0
Burundi,,,,,,,,,,,579,417,483,425,707,1940,434
Benin,,,,,,,,,682,544,740,468,707,560,944,322,1390
Burkina Faso,,,,,,,,,2620,2810,2740,4230,4030,4860,4210,5220,8080
Bangladesh,,,,,,1390,794,469,528,552,484,470,598,1250,411,,
Belize,,,,,,,,,,,,0,0,,0,,1
Bolivia,,,,,,,,,23,,,,4,2,0,0,0
Brazil,,,,,,,,,,,,142,93,103,100,122,97
Bhutan,,,,,,,25,14,17,,,14,11,15,5,5,6
Botswana,,,,,,,,141,23,49,30,27,23,18,19,11,42
Central African Republic,,,,,,,,,374,484,,535,,417,859,668,865
China,35,,52,19,43,34,30,46,24,67,39,28,42,52,31,48,38
Cote d'Ivoire,,,,,,,,,1340,974,730,,,,,,
Cameroon,,,,,,,,,,,,,,,,836,930
"Congo, Dem. Rep.",,,,,,,,,,,2540,,1930,16.5k,,,24.4k
"Congo, Rep.",,,,,,,,,,,,,,,,,253
Colombia,,,,,,,,,,,,58,40,24,25,28,53
Comoros,,,,,,,,,,50,82,16,,,28,92,56
Cape Verde,,,,,,,,,,,,0,1,2,2,1,7
Costa Rica,,,,,,,,,,,,0,0,0,,,
Dominican Republic,,,,,,,,,14,,,16,11,12,16,16,10
Algeria,,,,,,,,,2,6,1,1,0,,,,
Ecuador,,,,,,,,,16,,,,0,0,,,
Egypt,,,,,0,,,,,,,,,0,0,,0
Eritrea,,,,,,,,,404,169,94,129,85,70,16,32,17
Ethiopia,,,,,,,,,,,1110,1680,1610,2140,3330,1090,1360
Gabon,,,,,,,,,,,,91,,,,474,79
Georgia,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
Ghana,,,,,,,,,2800,2830,3230,1720,1920,1680,1260,1760,2830
Guinea,,,,,,,,,13,13,441,517,440,586,528,490,
Guinea-Bissau,,,,,,,,,,,1070,635,780,1140,565,565,507
Guatemala,,,,,,,,,9,,,,0,0,1,0,1
French Guiana,,,,,,,,,,,,0,,4,0,,5
Guyana,,,,,,,,,34,,,,,,8,22,20
Honduras,,,,,,,,,,,,0,0,0,,1,0
Haiti,,,,,,,,,25,,,16,,16,,29,32
Indonesia,,,,,,,148,199,45,,,68,197,,,,494
India,,,,,,,2800,879,666,,938,1020,973,1010,949,963,1710
Iran,,,,,,,,22,,3,4,2,2,5,1,1,1
Iraq,,,,,0,,,,,,,0,0,0,0,0,0
Kenya,,,,,,,,,665,1550,683,,135,,,,
Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Cambodia,1020,1160,1410,1100,1010,614,745,811,621,891,608,476,457,492,382,296,396
South Korea,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,
Lao,372,457,438,418,609,620,608,606,427,338,350,244,195,187,105,77,21
Liberia,,,,,,,,,,,,,,,,41,877
Sri Lanka,,,,,,,26,61,115,,,53,30,2,2,0,0
Morocco,,,,,,,,0,,,,,,,2,1,2
Madagascar,,,,,,,,,,640,591,1300,1270,1090,1190,1410,590
Mexico,,,,,,,,,,,,0,0,0,0,0,
Mali,,,,,,,,,,583,748,562,826,1310,1010,1290,1910
Myanmar,,,,,,,3420,2940,3180,3650,2760,2810,2630,2480,1980,1710,1650
Mozambique,,,,,,,,,896,1190,1370,3400,4210,3490,4150,4210,5040
Mauritania,,,,,,,,,279,525,491,337,100,,,,67
Malawi,57.6k,,,,,,,36k,,4750,7140,3360,5780,4770,3460,5070,7130
Malaysia,43,,25,23,28,35,40,25,27,21,35,46,39,21,35,33,21
Namibia,,,,,,250,469,547,404,531,918,1730,1500,1110,1190,1330,571
Niger,,,,,,,,1020,1820,2170,1010,4020,2430,3140,1380,9960,2570
Nigeria,2280,1950,1070,710,1690,3270,4770,4600,6200,4120,5670,4320,4090,5340,6030,6490,6590
Nicaragua,,,,,,,,,,,,2,8,7,1,6,1
Nepal,,,,,0,0,15,2,7,,0,1,3,5,7,10,42
Pakistan,,,,,,,,,,,,,,29,,52,9
Panama,,,,,,,,,,,,0,2,3,3,,
Peru,,,,,,,,,,,,25,12,25,12,,
Philippines,913,924,864,811,784,643,536,514,561,755,536,439,98,162,167,145,109
Papua New Guinea,457,,500,448,281,415,514,390,651,567,617,619,678,559,644,731,668
North Korea,,,,,,,,,,,,0,0,0,,,
Paraguay,,,,,,,,,,,,0,0,0,0,,
Russia,1,1,,1,3,2,3,4,,3,2,,2,,,,
Rwanda,,,,,,,,,2740,1880,2680,4300,3200,2710,2370,2590,2350
Saudi Arabia,,,,,,,,6,28,,,0,0,0,0,0,0
Sudan,,,,,932,,1940,1830,1960,2620,2160,2250,2130,2480,1810,1700,99
Senegal,,,,,,,,1210,1030,1240,1340,1520,1230,1600,1520,1590,1680
Solomon Islands,33,46,33,40,49,51,30,27,33,23,38,55,59,71,34,38,12
Sierra Leone,,,,,,,,,,,,280,428,112,98,36,70
El Salvador,,,,,,,,,,,,0,0,0,0,0,0
Somalia,,,,,,,,,,,,,8,54,79,15,58
Sao Tome and Principe,,,,,,,,,154,,,248,321,193,168,85,26
Suriname,,,,,,,,,,,,23,16,18,7,2,1
Eswatini,,,,,,,,,109,149,,55,53,30,28,17,15
Syria,,,,,,,,,,,,,0,,0,2,2
Chad,,,,,,,,,,,,936,944,970,,,815
Togo,,,,,,,,,475,766,883,1390,1660,1130,1180,1020,819
Thailand,1290,,,,,,826,764,688,740,625,424,361,325,230,71,113
Tajikistan,,,,,,,,7,0,,,0,0,0,,,
Turkmenistan,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,
Turkey,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,
Tanzania,,,,,,,,,,,,838,441,14.9k,19.6k,18.1k,20.8k
Uganda,,,,,,,,,,,,,,8450,,77k,47k
Uzbekistan,0,1,0,1,0,0,0,0,,0,,0,0,0,0,0,0
Vietnam,3340,4650,2630,1030,604,348,203,152,183,190,148,91,50,50,24,18,41
Vanuatu,32,32,26,13,8,4,0,0,0,0,,2,8,8,1,10,6
Yemen,,,,,,,,,,,,,,29,,,73
South Africa,35,19,14,45,12,44,163,104,198,406,458,119,96,142,89,64,87
Zambia,4860,5000,3320,4690,5780,,,,,8580,3270,9370,9020,9180,8290,7740,6480
Zimbabwe,,,,,,,,1190,1250,1140,1790,412,1840,1040,1810,1920,
